Date,"Binance Coin","Binance USD",Bitcoin,Cardano,Dogecoin,Ethereum,Polygon,Tether,"USD Coin",XRP
"2022-04-06 00:00",393.68557851,0.98633721,42254.06691746,1.03488036,0.13816945,3071.66460556,1.41226669,0.99923925,1.00076599,0.7425998
"2022-04-07 00:00",418.18456963,1.00395828,42086.62681946,1.05318912,0.13914645,3112.18810899,1.44969515,1.00179076,1.00054009,0.75244358
"2022-04-08 00:00",376.0269738,0.96907422,39543.60914823,0.98505267,0.13035222,2951.25737695,1.33461204,0.99521025,0.98894041,0.69382284
"2022-04-09 00:00",392.11894399,0.9947204,40976.16876817,1.0005476,0.13569114,3095.43010157,1.39250211,0.99826638,0.99870317,0.73593103
"2022-04-10 00:00",375.59548751,0.97484378,39575.10280345,0.96537887,0.13753829,2982.68003104,1.35327472,0.9961108,0.99847855,0.69899899
"2022-04-11 00:00",366.70150193,1.00024346,37490.28048958,0.87438596,0.12578104,2793.82016666,1.25469169,0.9999543,0.97830923,0.65299837
"2022-04-12 00:00",382.41936794,0.99402335,37729.40756296,0.90498821,0.12772264,2834.62519722,1.31436732,0.99980629,0.92661838,0.66947555
"2022-04-13 00:00",400.69755739,1.00050863,33838.34786762,0.75708597,0.10691812,2475.66427214,1.08407612,0.99915172,0.90510496,0.57037337
"2022-04-14 00:00",366.0994717,1.00591277,37165.07934755,0.8678237,0.13084473,2795.7616427,1.30617712,1.00124027,0.8568623,0.65508617
"2022-04-15 00:00",390.85588072,0.9923977,38662.92737184,0.91880589,0.13808551,2881.48908858,1.31623863,1.00373654,0.86228489,0.74240731
"2022-04-16 00:00",411.67846657,1.00387022,40155.44889518,0.92766331,0.14057953,3005.60874848,1.34607111,1.0055642,0.91978521,0.75911107
"2022-04-17 00:00",370.7057601,1.00139747,37946.99994539,0.8708088,0.13007707,2820.11005043,1.2696654,1.0018059,0.88286156,0.71260807
"2022-04-18 00:00",393.8078454,1.00008381,40121.10431624,0.92047528,0.13619043,2992.90210848,1.39972662,1.00198487,0.95401363,0.75540557
"2022-04-19 00:00",363.2741793,0.99966985,38556.77714084,0.86637823,0.12734592,2822.39936965,1.31504316,1.00068164,0.93485512,0.7070633
"2022-04-20 00:00",359.51000719,0.98712886,38506.19384209,0.86141794,0.1271903,2782.69969345,1.33777418,0.99581534,0.95109307,0.6799883
"2022-04-21 00:00",439.54586911,1.00283716,40491.32360009,0.90052094,0.1353879,2965.17826128,1.37859604,1.00049282,0.9476371,0.72976675
"2022-04-22 00:00",409.83244975,1.01282518,39734.23456801,0.90229581,0.13437054,2956.81791044,1.38670012,1.00166276,0.98157585,0.7231496
"2022-04-23 00:00",402.72752256,1.00106519,39714.51495664,0.88862075,0.13171254,2956.36171118,1.37573982,0.9986684,0.9575389,0.71109234
"2022-04-24 00:00",406.62789504,1.00628329,40124.98142161,0.89008199,0.13332142,2985.85875112,1.31755452,1.00185876,0.98510311,0.71656645
"2022-04-25 00:00",379.76745647,0.99139083,39264.33759572,0.87081844,0.15166397,2934.61207565,1.34553174,0.99884538,0.98410767,0.67848503
"2022-04-26 00:00",389.78414504,0.99174445,37576.720506,0.83381514,0.13978886,2780.47429625,1.1928437,1.00113871,0.98572243,0.61385213
"2022-04-27 00:00",391.21573622,0.9855403,39230.13166669,0.83875818,0.1390075,2888.37528202,1.25551319,1.00039155,0.99513044,0.6507183
"2022-04-28 00:00",391.3455747,0.99339732,39105.34685602,0.83428503,0.13530105,2890.36661337,1.24006164,0.99876761,0.98265575,0.63601661
"2022-04-29 00:00",331.15947629,0.99844788,34131.02215221,0.70591364,0.11550299,2415.71892645,0.99744197,0.9995723,0.98610769,0.5109059
"2022-04-30 00:00",360.21431791,1.01465622,36364.11034579,0.72942671,0.12132014,2620.96498079,1.01688109,1.0061931,0.96491081,0.5660955
"2022-05-01 00:00",362.12151329,1.01524973,37776.46941647,0.7700333,0.12936485,2756.50878471,1.07956921,1.00384809,0.98053324,0.58808087
"2022-05-02 00:00",326.1329348,0.9900567,37500.01641512,0.69617707,0.11994975,2759.92191919,1.01821691,0.99946315,0.97499569,0.55047515
"2022-05-03 00:00",385.41755436,0.99885823,38597.64649074,0.78150854,0.13515684,2833.05438495,1.0812111,1.00126567,0.99603043,0.61319935
"2022-05-04 00:00",400.30354647,0.99360369,39628.10963788,0.87845865,0.13424456,2922.35350967,1.15300096,0.99714844,0.98190284,0.64228207
"2022-05-05 00:00",376.62723574,1.0128219,36211.64502229,0.78968078,0.12726417,2727.68386047,1.0517001,1.00416699,0.95468907,0.59504858
"2022-05-06 00:00",381.07855112,1.00732231,36114.95995013,0.78528589,0.12733925,2702.62943631,1.04007589,1.00319878,0.98606933,0.60333903
"2022-05-07 00:00",363.10987008,1.00910466,34672.12384863,0.75412716,0.12366803,2562.75205635,0.99913683,1.00152329,0.98169979,0.56627631
"2022-05-08 00:00",361.2515486,1.00954091,34557.20082527,0.75116625,0.12563661,2563.84148483,0.98878724,1.002017,0.98853579,0.57852832
"2022-05-09 00:00",298.76754646,1.00650115,30650.51951566,0.60783492,0.10741433,2290.52805264,0.82825953,1.00107538,0.97971903,0.48801582
"2022-05-10 00:00",306.41723503,1.0062563,31002.35599285,0.62587611,0.10854745,2343.65614887,0.893866,1.00132838,0.99857082,0.5043976
"2022-05-11 00:00",273.68073751,1.00948696,29214.97222695,0.52514715,0.08610698,2106.56489441,0.68183967,1.00108069,0.99591297,0.4233455
"2022-05-12 00:00",270.90033569,1.00108232,29568.72495269,0.47470721,0.08302818,2006.56491012,0.60563449,0.99842661,0.99772195,0.38622317
"2022-05-13 00:00",279.53382355,1.00216163,29519.20334357,0.5350745,0.08874853,2032.05734396,0.67788466,0.9989479,0.99515026,0.42545446
"2022-05-14 00:00",292.35078657,1.00271978,29889.95092663,0.53104606,0.08926395,2042.03513845,0.67998302,0.99869155,0.98807156,0.42458897
"2022-05-15 00:00",303.26295609,1.00218656,30115.22834485,0.57584337,0.09022134,2080.54586486,0.70721712,0.99920336,0.98770745,0.42916884
"2022-05-16 00:00",294.62758885,1.00050813,29730.8773575,0.55831105,0.08714953,2018.49254366,0.67926709,0.99798136,0.99598188,0.42121828
"2022-05-17 00:00",303.60595783,1.00000483,30099.19953929,0.57214438,0.08932533,2070.74619047,0.71938442,0.99877495,0.99367658,0.43125903
"2022-05-18 00:00",290.35286075,1.0104086,28982.1541882,0.51506922,0.08461674,1939.20154323,0.63933369,1.00352494,0.99112288,0.41016195
"2022-05-19 00:00",305.08235116,0.99834732,30124.56598255,0.53011459,0.08728533,2006.40508735,0.6504256,0.99699562,0.98970665,0.41751728
"2022-05-20 00:00",297.84166742,1.00249082,28625.77532514,0.51088847,0.08211473,1937.02680923,0.6275245,0.99968137,0.99702687,0.40522991
"2022-05-21 00:00",311.97888246,1.00352147,29441.19539362,0.52841143,0.08426071,1976.8917078,0.64826703,0.99994341,0.98419889,0.41237715
"2022-05-22 00:00",320.79196477,1.00089906,30587.86486518,0.5436107,0.08673666,2055.11170006,0.68714896,0.99973658,0.98564663,0.42368335
"2022-05-23 00:00",319.13970286,1.00321548,29173.80501519,0.5159313,0.08370268,1983.10930803,0.65414088,1.0001362,0.9887728,0.408348
"2022-05-24 00:00",327.09345077,1.00072297,29524.05125007,0.51777995,0.08346045,1957.81457228,0.65514909,0.99875233,0.98844872,0.40706802
"2022-05-25 00:00",322.29940202,0.99893763,29579.20191897,0.50625577,0.08046776,1936.22329262,0.63834094,0.99716895,0.99437402,0.40019948
"2022-05-26 00:00",309.85825644,0.99816138,28967.94433042,0.4783161,0.07824127,1801.65846672,0.60298519,0.99789925,0.98403043,0.39254149
"2022-05-27 00:00",299.49025131,1.00115337,28298.15766215,0.4532956,0.08009218,1701.7956592,0.55853345,0.99895798,0.9953755,0.38001065
"2022-05-28 00:00",309.90169279,1.00264098,30600.94884886,0.46629895,0.08243662,1866.49019494,0.5964638,0.99996633,0.96011169,0.38796103
"2022-05-29 00:00",304.42146336,1.00079739,29246.54069243,0.47360212,0.08105129,1807.24362386,0.58745412,0.99945227,0.94654209,0.38380205
"2022-05-30 00:00",320.98064692,1.00439974,31404.47875982,0.56357483,0.08699999,1974.48566169,0.64459726,1.00001336,0.97858802,0.41361901
"2022-05-31 00:00",321.21991666,1.00058394,31813.33191157,0.6273317,0.08585551,1950.45401352,0.66125632,0.99898262,0.98281347,0.42169929
"2022-06-01 00:00",311.77591009,1.00986081,30303.40212872,0.56672134,0.08371773,1856.52872582,0.61684956,1.00211079,0.99219716,0.41305787
"2022-06-02 00:00",284.78699919,0.99935271,30335.46034511,0.58342195,0.082228,1824.84314964,0.61410565,0.99904591,0.97205131,0.4021807
