Date,Open,High,Low,Close,Adj Close
26/11/2019,147.328995,149.501999,145.274002,147.585007,147.585007
27/11/2019,147.347,155.242004,142.944,153.856003,153.856003
29/11/2019,155.059998,158.289993,152.044006,157.037003,157.037003
02/12/2019,151.001007,152.615005,147.673004,149.231003,149.231003
03/12/2019,149.494003,151.033005,147.229004,149.498993,149.498993
04/12/2019,149.317001,152.688004,145.828995,146.830994,146.830994
05/12/2019,147.707001,156.050003,146.850006,150.003006,150.003006
06/12/2019,151.238007,152.507996,149.953003,151.779999,151.779999
09/12/2019,153.354996,154.287003,149.848999,150.455002,150.455002
10/12/2019,149.815994,150.406998,147.054993,147.638,147.638
11/12/2019,147.897003,148.893005,146.141998,146.621994,146.621994
12/12/2019,146.593994,147.524994,145.552002,146.667999,146.667999
13/12/2019,147.117996,148.119995,146.638,147.595001,147.595001
16/12/2019,145.634003,145.669006,139.190994,139.647003,139.647003
17/12/2019,139.641006,140.173996,131.145004,131.671997,131.671997
18/12/2019,132.147003,142.828003,129.970993,142.235992,142.235992
19/12/2019,142.192993,145.457001,139.035995,142.259995,142.259995
20/12/2019,142.151993,143.404999,140.761993,143.072006,143.072006
23/12/2019,146.542999,150.343994,144.378006,144.481003,144.481003
24/12/2019,144.367996,148.108994,143.259995,144.091995,144.091995
26/12/2019,142.348999,145.578003,141.576004,142.947006,142.947006
27/12/2019,142.261002,145.091995,141.677002,143.507996,143.507996
30/12/2019,147.785995,148.826004,144.455994,145.037994,145.037994
31/12/2019,145.082993,145.626999,141.973999,142.309006,142.309006
02/01/2020,143.414001,143.414001,138.149002,138.806,138.806
03/01/2020,138.738007,146.947998,137.307007,145.089005,145.089005
06/01/2020,147.953003,153.313004,147.429993,152.807007,152.807007
07/01/2020,153.722,161.451004,153.722,159.307999,159.307999
08/01/2020,158.589996,165.149002,156.869995,157.787994,157.787994
09/01/2020,158.156998,159.619995,154.729004,155.216003,155.216003
10/01/2020,155.322006,161.220993,152.783997,160.037003,160.037003
13/01/2020,163.085007,163.897995,161.078003,162.888,162.888
14/01/2020,162.716003,181.518005,162.580994,179.283997,179.283997
15/01/2020,180.097,183.798004,177.507004,181.570999,181.570999
16/01/2020,181.764008,182.492996,175.679001,178.882004,178.882004
17/01/2020,178.955002,185.556,178.214996,184.074005,184.074005
21/01/2020,180.373993,181.126007,176.815994,180.761002,180.761002
22/01/2020,180.171997,182.391998,178.910995,179.479004,179.479004
23/01/2020,179.567001,179.917999,171.229004,173.087997,173.087997
24/01/2020,173.565994,175.059006,168.949005,174.845001,174.845001
27/01/2020,177.160995,185.367996,176.742996,184.125,184.125
28/01/2020,183.848999,188.953003,183.102997,186.666,186.666
29/01/2020,186.882996,193.485001,186.882996,192.367004,192.367004
30/01/2020,192.119003,197.207993,189.067001,197.037003,197.037003
31/01/2020,196.832001,197.550003,189.738998,192.660995,192.660995
03/02/2020,196.296997,198.723007,193.438004,194.210999,194.210999
04/02/2020,194.298004,195.274994,190.304993,192.444,192.444
05/02/2020,192.584,204.800995,192.580002,204.697998,204.697998
06/02/2020,203.910004,208.121002,201.666,206.479996,206.479996
07/02/2020,206.182007,209.511993,205.421997,207.166,207.166
10/02/2020,215.544006,217.195999,209.001007,211.126007,211.126007
11/02/2020,211.024002,219.222,208.447998,218.259995,218.259995
12/02/2020,219.042007,227.615997,218.722,226.709,226.709
13/02/2020,226.574005,230.298004,221.783997,223.75,223.75
14/02/2020,224.272995,229.738007,222.742004,229.167007,229.167007
18/02/2020,209.785004,221.848007,209.069,220.240005,220.240005
19/02/2020,220.240005,222.436005,209.214005,209.214005,209.214005
20/02/2020,209.343002,210.207993,204.612,207.376999,207.376999
21/02/2020,207.746002,210.807999,206.494995,208.755005,208.755005
24/02/2020,214.020996,216.311996,205.401993,206.944,206.944
25/02/2020,207.339005,208.498001,198.949997,200.350998,200.350998
26/02/2020,201.158005,201.197006,183.300003,184.686996,184.686996
27/02/2020,185.589996,190.628998,180.070007,186.167007,186.167007
28/02/2020,184.901993,189.367004,179.401001,183.632996,183.632996
02/03/2020,180.815002,189.893005,180.557007,189.787994,189.787994
03/03/2020,190.057999,190.136993,185.184006,186.063995,186.063995
04/03/2020,186.298996,188.205002,184.707001,185.238007,185.238007
05/03/2020,185.578003,194.414993,185.322998,193.632004,193.632004
06/03/2020,193.466003,195.904999,191.722,194.617996,194.617996
09/03/2020,173.751999,173.783005,160.757004,164.550995,164.550995
10/03/2020,164.841995,171.134995,164.615997,167.632996,167.632996
11/03/2020,167.649994,167.945007,159.061005,163.802994,163.802994
12/03/2020,163.613998,165.794998,115.857002,118.455002,118.455002
13/03/2020,120.122002,121.263,84.776001,114.655998,114.655998
16/03/2020,113.042999,113.042999,95.103996,103.379997,103.379997
17/03/2020,102.385002,110.808998,102.140999,108.139999,108.139999
18/03/2020,107.558998,109.521004,104.542,107.738998,107.738998
19/03/2020,107.428001,129.817001,107.375999,128.735992,128.735992
20/03/2020,129.666,140.804993,119.857002,126.931999,126.931999
23/03/2020,122.525002,130.5,118.412003,130.020996,130.020996
24/03/2020,129.559006,137.729996,129.309998,136.039993,136.039993
25/03/2020,136.324005,139.289993,132.552994,133.569,133.569
26/03/2020,134.529999,136.358002,133.675995,136.212997,136.212997
27/03/2020,135.751999,138.354004,134.820007,136.376999,136.376999
30/03/2020,122.177002,131.533005,121.282997,131.490005,131.490005
31/03/2020,132.334,132.779007,130.255005,131.824997,131.824997
01/04/2020,131.735001,132.048004,127.135002,129.632996,129.632996
02/04/2020,129.862,144.160995,129.440002,137.423996,137.423996
03/04/2020,138.076004,142.787003,136.403,137.419006,137.419006
06/04/2020,138.432007,150.278,138.382996,148.697006,148.697006
07/04/2020,149.052994,154.524994,147.970993,148.102005,148.102005
08/04/2020,148.272003,153.570999,148.115005,152.682007,152.682007
09/04/2020,153.106995,153.669998,149.949997,151.697006,151.697006
13/04/2020,147.227997,147.509003,138.5,141.313004,141.313004
14/04/2020,141.776993,144.524994,141.057999,142.707993,142.707993
15/04/2020,142.350006,143.966995,139.529999,139.987,139.987
16/04/2020,139.891006,147.401001,135.921997,147.281998,147.281998
17/04/2020,147.218994,148.932999,146.841995,148.029999,148.029999
20/04/2020,151.483994,152.462006,142.962006,144.565994,144.565994
21/04/2020,144.630005,145.257004,142.998001,144.436005,144.436005
22/04/2020,144.468994,150.128998,143.744003,149.324997,149.324997
