Date,Close(CCI30 index)
2021/07/30,17383.8
2021/07/29,16773.6
2021/07/28,16499
2021/07/27,16297.1
2021/07/26,15768.2
2021/07/25,15330.4
2021/07/24,15148.3
2021/07/23,14806.6
2021/07/22,14294.6
2021/07/21,13990.8
2021/07/20,12697.5
2021/07/19,13234.5
2021/07/18,13951.4
2021/07/17,13870.4
2021/07/16,13808.9
2021/07/15,14272.9
2021/07/14,14835.5
2021/07/13,14821.4
2021/07/12,15267.7
2021/07/11,15787.3
2021/07/10,15538.5
2021/07/09,15786
2021/07/08,15439.3
2021/07/07,16342.9
2021/07/06,16440.2
2021/07/05,15926.1
2021/07/04,16643.1
2021/07/03,16281.5
2021/07/02,15880.1
2021/07/01,15741.9
2021/06/30,16876.6
2021/06/29,16794.5
2021/06/28,16080.4
2021/06/27,15817.7
2021/06/26,14868.9
2021/06/25,14703.6
2021/06/24,16137.1
2021/06/23,15476.7
2021/06/22,14294.5
2021/06/21,14434.2
2021/06/20,17826.5
2021/06/19,17670.2
2021/06/18,17995.6
2021/06/17,19113.5
2021/06/16,19046.5
2021/06/15,20390
2021/06/14,20303.9
2021/06/13,19668.2
2021/06/12,18351.7
2021/06/11,18637.4
2021/06/10,19324.1
2021/06/09,20240.7
2021/06/08,19010.4
2021/06/07,19038.3
2021/06/06,20667.7
2021/06/05,20338.5
2021/06/04,20898.8
2021/06/03,22449.5
2021/06/02,21330.9
2021/06/01,20374.6
2021/05/31,20967.6
2021/05/30,19128.7
2021/05/29,18265
2021/05/28,19277.5
2021/05/27,21177.8
2021/05/26,22122
2021/05/25,20507.1
2021/05/24,20630.3
2021/05/23,16963.8
2021/05/22,19061.4
2021/05/21,20180.8
2021/05/20,23193.7
2021/05/19,20193.8
2021/05/18,28581.7
2021/05/17,27950.4
2021/05/16,30062.6
2021/05/15,29930.1
2021/05/14,31842.2
2021/05/13,30085
2021/05/12,28576.2
2021/05/11,33336.6
2021/05/10,31196.7
2021/05/09,33483.9
2021/05/08,33384.3
2021/05/07,32819.8
2021/05/06,32591.8
2021/05/05,32580.5
2021/05/04,28941.1
2021/05/03,30500.8
2021/05/02,29073.9
2021/05/01,29539.3
2021/04/30,29379.7
2021/04/29,27671.2
2021/04/28,27981.9
2021/04/27,27588.7
2021/04/26,26623.3
2021/04/25,23830.1
2021/04/24,23755.4
2021/04/23,24823.4
2021/04/22,25027.5
2021/04/21,26552.7
2021/04/20,27673.4
2021/04/19,27187.7
2021/04/18,27490.5
2021/04/17,29067.1
2021/04/16,30244.1
2021/04/15,28970.4
2021/04/14,27937.9
2021/04/13,27101.6
2021/04/12,25332.7
2021/04/11,25081.4
2021/04/10,24569.7
2021/04/09,23353.5
2021/04/08,23357.8
2021/04/07,21959.2
2021/04/06,23717.7
2021/04/05,23269.7
2021/04/04,22411.5
2021/04/03,21251.8
2021/04/02,22014.3
2021/04/01,21267.5
2021/03/31,21192.3
2021/03/30,20640.5
2021/03/29,20202.8
2021/03/28,19487.7
2021/03/27,19390
2021/03/26,19393.6
2021/03/25,18026
2021/03/24,18067.6
2021/03/23,19050.8
2021/03/22,18858.8
2021/03/21,19562.1
2021/03/20,19658.2
2021/03/19,19687.2
2021/03/18,19291.6
2021/03/17,19631
2021/03/16,18784.3
2021/03/15,18245.1
2021/03/14,18933
2021/03/13,19571.2
2021/03/12,18489.4
2021/03/11,19000.9
2021/03/10,18698.9
2021/03/09,18991.7
2021/03/08,18088
2021/03/07,17623.6
2021/03/06,16936
2021/03/05,16750
2021/03/04,16833
2021/03/03,17345.6
2021/03/02,16679.1
2021/03/01,16937.7
2021/02/28,15546
2021/02/27,16399.3
2021/02/26,16023.5
2021/02/25,16031.3
2021/02/24,17079.6
2021/02/23,16526.4
2021/02/22,18935.2
2021/02/21,19903.5
2021/02/20,19222.1
2021/02/19,19741.7
2021/02/18,17702.2
2021/02/17,17326.7
2021/02/16,16327.1
2021/02/15,16160.4
2021/02/14,16457.4
2021/02/13,16630
2021/02/12,16205.7
2021/02/11,15439.7
2021/02/10,14695.9
2021/02/09,14350.3
2021/02/08,13594.6
2021/02/07,12241.4
2021/02/06,12328.2
2021/02/05,12244
2021/02/04,11404.5
2021/02/03,11605.4
2021/02/02,10952.4
2021/02/01,10489.3
2021/01/31,10218.2
2021/01/30,10704.3
2021/01/29,10304.4
2021/01/28,9749.54
2021/01/27,9360.43
2021/01/26,10042.5
2021/01/25,9944.53
2021/01/24,10150.9
2021/01/23,9852.02
2021/01/22,9810.43
2021/01/21,9107.73
2021/01/20,10592.1
2021/01/19,10574.6
2021/01/18,10554.7
2021/01/17,10316.9
2021/01/16,10271
2021/01/15,9957
2021/01/14,10315
2021/01/13,9867.27
2021/01/12,9014.23
2021/01/11,9264.21
2021/01/10,10392.1
2021/01/09,10674.3
2021/01/08,10176.8
2021/01/07,10152.1
2021/01/06,9944.13
2021/01/05,8943.83
2021/01/04,8525.82
2021/01/03,8481
2021/01/02,7866.09
2021/01/01,7519.95
2020/12/31,7496.94
2020/12/30,7605.17
2020/12/29,7501.8
2020/12/28,7161.1
2020/12/27,7161.1
2020/12/26,7141.45
2020/12/25,6924.75
2020/12/24,6752.63
2020/12/23,6312.55
2020/12/22,7011.91
2020/12/21,6850.82
2020/12/20,7182.61
2020/12/19,7301.34
2020/12/18,7180.61
2020/12/17,7066.11
2020/12/16,6890.97
2020/12/15,6347.39
2020/12/14,6337.37
2020/12/13,6341.17
2020/12/12,6167.74
2020/12/11,5958.21
2020/12/10,6076.35
2020/12/09,6224.07
2020/12/08,6104.35
2020/12/07,6470.3
2020/12/06,6547.6
2020/12/05,6509.51
2020/12/04,6267.95
2020/12/03,6659.6
2020/12/02,6565.64
2020/12/01,6394.38
2020/11/30,6746.8
2020/11/29,6407.27
2020/11/28,6283.22
2020/11/27,5996.27
2020/11/26,5923.25
2020/11/25,6635.74
2020/11/24,6956.1
2020/11/23,6554.24
2020/11/22,6037.29
2020/11/21,6182.98
2020/11/20,5704.23
2020/11/19,5438.29
2020/11/18,5424.32
2020/11/17,5458.99
2020/11/16,5189.27
2020/11/15,4992.83
2020/11/14,5077.32
2020/11/13,5161.99
2020/11/12,5047.12
2020/11/11,5012.14
2020/11/10,4960.63
2020/11/09,4925.71
2020/11/08,5001.56
2020/11/07,4808.21
2020/11/06,5023.07
2020/11/05,4780.26
2020/11/04,4526.32
